paiement_id,eleve_id,annee_id,montant,date_paiement,type_paiement
1,1,2022,30000,2022-01-08,solde
2,1,2022,50000,2024-11-16,solde
3,1,2022,25000,2021-03-30,solde
4,1,2022,25000,2025-02-04,inscription
5,2,2020,30000,2023-07-03,solde
6,2,2020,25000,2024-05-23,mensualité
7,2,2020,30000,2020-10-02,mensualité
8,2,2020,40000,2023-08-29,inscription
9,3,2022,25000,2024-08-27,inscription
10,3,2022,50000,2020-12-09,mensualité
11,3,2022,25000,2025-01-15,inscription
12,4,2021,25000,2023-10-13,mensualité
13,4,2021,25000,2023-11-11,mensualité
14,5,2024,30000,2021-02-04,solde
15,5,2024,25000,2021-05-18,mensualité
16,5,2024,30000,2024-09-04,inscription
17,5,2024,50000,2024-02-07,solde
18,5,2024,30000,2022-05-19,mensualité
19,6,2024,50000,2020-12-11,inscription
20,6,2024,30000,2023-04-12,solde
21,6,2024,50000,2022-03-24,inscription
22,7,2021,30000,2021-12-05,solde
23,7,2021,30000,2023-09-21,inscription
24,8,2022,50000,2023-09-27,inscription
25,8,2022,30000,2025-01-22,solde
26,8,2022,25000,2022-06-11,mensualité
27,8,2022,50000,2024-04-05,mensualité
28,8,2022,40000,2022-02-24,mensualité
29,9,2023,25000,2022-06-05,mensualité
30,9,2023,25000,2021-05-11,mensualité
31,9,2023,25000,2021-09-21,mensualité
32,9,2023,40000,2021-11-04,inscription
33,9,2023,40000,2023-11-09,solde
34,10,2024,40000,2021-07-08,solde
35,10,2024,25000,2025-03-24,inscription
36,10,2024,30000,2022-11-18,solde
37,10,2024,50000,2020-10-17,mensualité
38,10,2024,50000,2023-05-06,inscription
39,11,2024,25000,2020-10-28,mensualité
40,11,2024,50000,2024-05-16,solde
41,11,2024,40000,2023-11-30,inscription
42,12,2021,40000,2024-09-17,mensualité
43,12,2021,40000,2021-10-02,solde
44,12,2021,30000,2021-07-10,mensualité
45,13,2021,25000,2024-01-05,solde
46,13,2021,50000,2022-07-30,inscription
47,13,2021,30000,2022-08-17,inscription
48,13,2021,50000,2021-11-24,solde
49,13,2021,40000,2024-06-09,mensualité
50,14,2021,25000,2020-12-09,mensualité
51,14,2021,50000,2021-06-05,inscription
52,14,2021,40000,2025-03-08,solde
