resultat_id,eleve_id,matiere,trimestre,moyenne
1,1,Mathématiques,T1,15.81
2,1,EDHC,T2,16.64
3,1,Français,T3,17.17
4,1,Histoire-Géographie,T2,15.43
5,1,SVT,T3,7.41
6,1,Physique-Chimie,T1,8.69
7,1,Arts Plastiques,T3,13.6
8,1,Musique,T3,16.75
9,1,EPS,T1,15.1
10,1,Espagnol,T3,16.34
11,1,Anglais,T1,9.21
12,1,TICE,T3,6.3
13,2,Mathématiques,T1,11.17
14,2,EDHC,T2,7.21
15,2,Français,T2,11.64
16,2,Histoire-Géographie,T1,16.43
17,2,SVT,T3,6.97
18,2,Physique-Chimie,T1,10.71
19,2,Arts Plastiques,T2,17.18
20,2,Musique,T1,7.6
21,2,EPS,T3,13.74
22,2,Espagnol,T2,16.29
23,2,Anglais,T2,15.96
24,2,TICE,T1,15.87
25,3,Mathématiques,T1,8.68
26,3,EDHC,T1,17.86
27,3,Français,T2,12.9
28,3,Histoire-Géographie,T1,13.24
29,3,SVT,T3,12.69
30,3,Physique-Chimie,T3,12.51
31,3,Arts Plastiques,T3,14.11
32,3,Musique,T3,10.81
33,3,EPS,T1,17.32
34,3,Espagnol,T2,17.28
35,3,Anglais,T3,17.62
36,3,TICE,T1,15.44
37,4,Mathématiques,T2,10.17
38,4,EDHC,T2,6.64
39,4,Français,T1,7.34
40,4,Histoire-Géographie,T2,17.99
41,4,SVT,T1,17.97
42,4,Physique-Chimie,T3,10.09
43,4,Arts Plastiques,T2,10.26
44,4,Musique,T2,16.6
45,4,EPS,T1,11.86
46,4,Espagnol,T3,10.02
47,4,Anglais,T3,6.04
48,4,TICE,T2,16.26
49,5,Mathématiques,T3,10.76
50,5,EDHC,T2,13.53
51,5,Français,T3,15.65
52,5,Histoire-Géographie,T1,14.51
53,5,SVT,T1,10.84
54,5,Physique-Chimie,T3,6.21
55,5,Arts Plastiques,T3,6.83
56,5,Musique,T1,10.41
57,5,EPS,T2,7.33
58,5,Espagnol,T3,17.57
59,5,Anglais,T1,17.66
60,5,TICE,T2,16.81
61,6,Mathématiques,T2,10.2
62,6,EDHC,T3,16.22
63,6,Français,T2,12.56
64,6,Histoire-Géographie,T3,15.99
65,6,SVT,T3,15.72
66,6,Physique-Chimie,T3,11.55
67,6,Arts Plastiques,T2,13.35
68,6,Musique,T1,17.34
69,6,EPS,T2,16.38
70,6,Espagnol,T3,8.16
71,6,Anglais,T3,16.1
72,6,TICE,T2,15.13
73,7,Mathématiques,T1,12.78
74,7,EDHC,T2,10.05
75,7,Français,T3,10.03
76,7,Histoire-Géographie,T1,9.04
77,7,SVT,T2,7.02
78,7,Physique-Chimie,T2,15.7
79,7,Arts Plastiques,T1,10.12
80,7,Musique,T1,11.95
81,7,EPS,T3,16.66
82,7,Espagnol,T2,9.31
83,7,Anglais,T3,14.69
84,7,TICE,T3,9.44
85,8,Mathématiques,T3,16.85
86,8,EDHC,T2,13.77
87,8,Français,T2,12.86
88,8,Histoire-Géographie,T2,15.73
89,8,SVT,T2,9.01
90,8,Physique-Chimie,T3,10.27
91,8,Arts Plastiques,T1,13.67
92,8,Musique,T3,8.93
93,8,EPS,T2,6.53
94,8,Espagnol,T3,14.14
95,8,Anglais,T1,17.54
96,8,TICE,T2,10.03
97,9,Mathématiques,T1,15.74
98,9,EDHC,T3,12.18
99,9,Français,T1,14.41
100,9,Histoire-Géographie,T2,13.87
101,9,SVT,T3,16.04
102,9,Physique-Chimie,T3,6.66
103,9,Arts Plastiques,T3,10.53
104,9,Musique,T3,13.63
105,9,EPS,T3,8.01
106,9,Espagnol,T3,7.05
107,9,Anglais,T3,16.84
108,9,TICE,T2,8.48
109,10,Mathématiques,T1,10.35
110,10,EDHC,T2,15.43
111,10,Français,T2,6.45
112,10,Histoire-Géographie,T2,14.39
113,10,SVT,T3,12.62
114,10,Physique-Chimie,T3,6.84
115,10,Arts Plastiques,T3,13.22
116,10,Musique,T2,6.86
117,10,EPS,T3,9.32
118,10,Espagnol,T1,10.11
119,10,Anglais,T2,9.38
120,10,TICE,T3,7.74
121,11,Mathématiques,T2,9.84
122,11,EDHC,T1,16.28
123,11,Français,T1,13.48
124,11,Histoire-Géographie,T1,16.03
125,11,SVT,T1,17.83
126,11,Physique-Chimie,T2,12.06
127,11,Arts Plastiques,T3,14.73
128,11,Musique,T2,7.2
129,11,EPS,T3,12.32
130,11,Espagnol,T1,6.2
131,11,Anglais,T3,9.03
132,11,TICE,T3,12.97
133,12,Mathématiques,T3,17.41
134,12,EDHC,T1,16.68
135,12,Français,T2,6.65
136,12,Histoire-Géographie,T1,17.99
137,12,SVT,T1,15.77
138,12,Physique-Chimie,T3,17.98
139,12,Arts Plastiques,T3,16.97
140,12,Musique,T2,15.38
141,12,EPS,T2,9.66
142,12,Espagnol,T1,14.26
143,12,Anglais,T1,6.34
144,12,TICE,T1,7.73
145,13,Mathématiques,T1,17.91
146,13,EDHC,T2,10.99
147,13,Français,T2,9.71
148,13,Histoire-Géographie,T1,12.94
149,13,SVT,T1,6.96
150,13,Physique-Chimie,T2,8.84
151,13,Arts Plastiques,T1,14.98
152,13,Musique,T1,17.37
153,13,EPS,T1,7.42
154,13,Espagnol,T1,7.18
155,13,Anglais,T2,13.84
156,13,TICE,T1,8.08
157,14,Mathématiques,T1,15.27
158,14,EDHC,T2,16.62
159,14,Français,T3,10.02
160,14,Histoire-Géographie,T3,7.41
161,14,SVT,T3,16.82
162,14,Physique-Chimie,T2,12.62
163,14,Arts Plastiques,T3,11.95
164,14,Musique,T2,12.68
165,14,EPS,T3,7.78
166,14,Espagnol,T2,10.59
167,14,Anglais,T2,6.84
168,14,TICE,T1,13.19
169,15,Mathématiques,T3,7.41
170,15,EDHC,T2,12.73
171,15,Français,T3,8.47
172,15,Histoire-Géographie,T1,13.82
173,15,SVT,T2,14.34
174,15,Physique-Chimie,T1,15.22
175,15,Arts Plastiques,T2,15.04
176,15,Musique,T3,6.72
177,15,EPS,T2,17.69
178,15,Espagnol,T1,8.31
179,15,Anglais,T3,12.74
180,15,TICE,T1,7.25
181,16,Mathématiques,T2,11.96
182,16,EDHC,T3,9.68
183,16,Français,T1,16.85
184,16,Histoire-Géographie,T3,14.5
185,16,SVT,T2,16.55
186,16,Physique-Chimie,T1,14.57
187,16,Arts Plastiques,T2,11.5
188,16,Musique,T3,13.1
189,16,EPS,T2,17.82
190,16,Espagnol,T1,6.46
191,16,Anglais,T1,6.07
192,16,TICE,T2,6.73
193,17,Mathématiques,T3,7.37
194,17,EDHC,T1,11.15
195,17,Français,T1,8.59
196,17,Histoire-Géographie,T3,17.23
197,17,SVT,T2,9.99
198,17,Physique-Chimie,T3,16.92
199,17,Arts Plastiques,T1,12.21
200,17,Musique,T3,7.34
201,17,EPS,T1,16.42
202,17,Espagnol,T3,11.37
203,17,Anglais,T3,9.08
204,17,TICE,T3,6.12
205,18,Mathématiques,T1,12.17
206,18,EDHC,T3,17.57
207,18,Français,T2,8.65
208,18,Histoire-Géographie,T3,9.67
209,18,SVT,T1,6.51
210,18,Physique-Chimie,T1,16.3
211,18,Arts Plastiques,T3,9.55
212,18,Musique,T1,17.7
213,18,EPS,T1,7.14
214,18,Espagnol,T1,14.87
215,18,Anglais,T2,13.7
216,18,TICE,T1,16.16
217,19,Mathématiques,T2,14.79
218,19,EDHC,T3,11.64
219,19,Français,T3,6.82
220,19,Histoire-Géographie,T2,7.59
221,19,SVT,T1,8.13
222,19,Physique-Chimie,T2,9.33
223,19,Arts Plastiques,T2,17.92
224,19,Musique,T2,7.38
225,19,EPS,T3,7.92
226,19,Espagnol,T3,7.26
227,19,Anglais,T3,9.6
228,19,TICE,T2,8.33
229,20,Mathématiques,T3,12.19
230,20,EDHC,T1,8.66
231,20,Français,T1,17.07
232,20,Histoire-Géographie,T2,13.04
233,20,SVT,T3,8.26
234,20,Physique-Chimie,T1,9.49
235,20,Arts Plastiques,T2,8.91
236,20,Musique,T2,7.98
237,20,EPS,T3,8.39
238,20,Espagnol,T2,15.61
239,20,Anglais,T2,17.99
240,20,TICE,T2,12.4
241,21,Mathématiques,T2,16.45
242,21,EDHC,T1,15.34
243,21,Français,T2,9.13
244,21,Histoire-Géographie,T2,13.12
245,21,SVT,T2,11.12
246,21,Physique-Chimie,T1,17.78
247,21,Arts Plastiques,T3,16.84
248,21,Musique,T3,17.64
249,21,EPS,T1,17.68
250,21,Espagnol,T3,10.38
251,21,Anglais,T3,16.57
252,21,TICE,T2,16.83
253,22,Mathématiques,T2,7.44
254,22,EDHC,T2,10.28
255,22,Français,T2,9.28
256,22,Histoire-Géographie,T1,16.93
257,22,SVT,T1,14.49
258,22,Physique-Chimie,T1,13.02
259,22,Arts Plastiques,T3,6.98
260,22,Musique,T3,14.72
261,22,EPS,T1,13.56
262,22,Espagnol,T3,11.69
263,22,Anglais,T2,13.49
264,22,TICE,T1,8.89
265,23,Mathématiques,T3,15.64
266,23,EDHC,T3,9.3
267,23,Français,T2,16.28
268,23,Histoire-Géographie,T2,14.4
269,23,SVT,T1,11.66
270,23,Physique-Chimie,T2,14.62
271,23,Arts Plastiques,T3,17.5
272,23,Musique,T1,12.72
273,23,EPS,T2,13.2
274,23,Espagnol,T3,11.33
275,23,Anglais,T1,11.99
276,23,TICE,T1,8.89
277,24,Mathématiques,T1,6.8
278,24,EDHC,T3,14.3
279,24,Français,T2,14.3
280,24,Histoire-Géographie,T3,17.7
281,24,SVT,T1,7.15
282,24,Physique-Chimie,T2,14.42
283,24,Arts Plastiques,T3,17.95
284,24,Musique,T2,8.73
285,24,EPS,T2,10.98
286,24,Espagnol,T1,13.24
287,24,Anglais,T1,17.04
288,24,TICE,T2,7.56
289,25,Mathématiques,T3,16.49
290,25,EDHC,T3,8.94
291,25,Français,T2,14.81
292,25,Histoire-Géographie,T2,8.77
293,25,SVT,T1,8.12
294,25,Physique-Chimie,T2,9.55
295,25,Arts Plastiques,T2,11.41
296,25,Musique,T2,6.25
297,25,EPS,T3,8.86
298,25,Espagnol,T3,14.92
299,25,Anglais,T3,11.28
300,25,TICE,T3,8.23
301,26,Mathématiques,T2,10.99
302,26,EDHC,T3,16.68
303,26,Français,T2,7.09
304,26,Histoire-Géographie,T3,8.88
305,26,SVT,T1,15.02
306,26,Physique-Chimie,T3,8.08
307,26,Arts Plastiques,T3,9.27
308,26,Musique,T1,7.88
309,26,EPS,T1,6.24
310,26,Espagnol,T2,14.33
311,26,Anglais,T2,16.14
312,26,TICE,T2,14.14
313,27,Mathématiques,T1,12.13
314,27,EDHC,T2,6.55
315,27,Français,T1,16.17
316,27,Histoire-Géographie,T3,13.07
317,27,SVT,T3,12.58
318,27,Physique-Chimie,T3,11.07
319,27,Arts Plastiques,T1,11.33
320,27,Musique,T1,7.14
321,27,EPS,T2,16.48
322,27,Espagnol,T1,13.47
323,27,Anglais,T3,11.17
324,27,TICE,T2,11.37
325,28,Mathématiques,T1,14.34
326,28,EDHC,T1,9.3
327,28,Français,T1,7.82
328,28,Histoire-Géographie,T3,12.39
329,28,SVT,T2,10.7
330,28,Physique-Chimie,T3,9.31
331,28,Arts Plastiques,T1,10.94
332,28,Musique,T3,7.21
333,28,EPS,T1,16.05
334,28,Espagnol,T2,6.45
335,28,Anglais,T3,6.06
336,28,TICE,T3,12.59
337,29,Mathématiques,T2,9.8
338,29,EDHC,T2,16.71
339,29,Français,T3,8.91
340,29,Histoire-Géographie,T3,7.02
341,29,SVT,T1,7.53
342,29,Physique-Chimie,T2,16.44
343,29,Arts Plastiques,T1,15.5
344,29,Musique,T1,17.52
345,29,EPS,T2,15.85
346,29,Espagnol,T2,16.17
347,29,Anglais,T1,9.16
348,29,TICE,T1,6.87
349,30,Mathématiques,T3,16.92
350,30,EDHC,T2,6.85
351,30,Français,T3,12.92
352,30,Histoire-Géographie,T3,15.68
353,30,SVT,T3,12.12
354,30,Physique-Chimie,T2,14.99
355,30,Arts Plastiques,T3,11.37
356,30,Musique,T3,9.03
357,30,EPS,T1,10.06
358,30,Espagnol,T1,17.5
359,30,Anglais,T1,16.52
360,30,TICE,T3,8.86
361,31,Mathématiques,T3,15.03
362,31,EDHC,T3,8.48
363,31,Français,T2,13.71
364,31,Histoire-Géographie,T3,16.13
365,31,SVT,T3,6.29
366,31,Physique-Chimie,T2,7.15
367,31,Arts Plastiques,T1,17.8
368,31,Musique,T1,8.78
369,31,EPS,T3,9.33
370,31,Espagnol,T2,12.28
371,31,Anglais,T2,15.08
372,31,TICE,T1,12.12
373,32,Mathématiques,T2,15.73
374,32,EDHC,T1,8.72
375,32,Français,T3,12.77
376,32,Histoire-Géographie,T2,8.55
377,32,SVT,T3,12.94
378,32,Physique-Chimie,T1,8.28
379,32,Arts Plastiques,T1,11.14
380,32,Musique,T3,17.73
381,32,EPS,T2,13.64
382,32,Espagnol,T2,11.57
383,32,Anglais,T3,11.02
384,32,TICE,T3,17.49
385,33,Mathématiques,T3,17.05
386,33,EDHC,T2,12.57
387,33,Français,T1,14.05
